Régime,Méthode,RMSE,L∞,L2 max(t),Temps entraînement / calcul (s),Temps évaluation grille (s)
In-distribution (choc simple),Volumes finis,1.6662010750763216e-05,0.00016652524805957358,0.00018220522139736638,0.3021357489997172,
In-distribution (choc simple),MLP,0.0008986284307729988,0.025056202353675727,0.025164261369498193,5.7658114609948825,0.048852881800121394
In-distribution (choc simple),PINN (Adam+L-BFGS),0.0006361596532273252,0.002502231553215984,0.0038381882688131846,12.617351414999575,0.033734842100238895
OOD (deux chocs gaussiens),Volumes finis,1.6341539059827553e-05,0.0002484210013818655,0.00023190834830546063,0.33426996899652295,
OOD (deux chocs gaussiens),"MLP (figé, jamais réentraîné)",0.02616942685325231,0.17701232352327498,0.27905458195549554,,0.05111672330021975
OOD (deux chocs gaussiens),PINN (réentraîné pour cette CI),0.002462564287084813,0.02493435363090496,0.02878778433760823,7.853089659998659,0.026931997200154
